gene_symbol,ENSG_ID,alias_symbol,source
CREBBP,ENSG00000005339, CBP,HGNC
PAG1,ENSG00000076641, CBP,HGNC
NOD2,ENSG00000167207, CD,HGNC
CTLA4,ENSG00000163599, CD,HGNC
LILRB1,ENSG00000104972, CD85,HGNC
LILRA5,ENSG00000187116, CD85,HGNC
SLC7A5,ENSG00000103257, CD98,HGNC
SLC3A2,ENSG00000168003, CD98,HGNC
CDK11B,ENSG00000248333, CDK11-p46,HGNC
CDK11A,ENSG00000008128, CDK11-p46,HGNC
CDK11A,ENSG00000008128, CDK11-p58,HGNC
CDK11B,ENSG00000248333, CDK11-p58,HGNC
ELMO3,ENSG00000102890, CED-12,HGNC
ELMO1,ENSG00000155849, CED-12,HGNC
ELMO2,ENSG00000062598, CED-12,HGNC
ELMO3,ENSG00000102890, CED12,HGNC
ELMO1,ENSG00000155849, CED12,HGNC
NUP42,ENSG00000136243, CG1,HGNC
KTN1,ENSG00000126777, CG1,HGNC
MOV10L1,ENSG00000073146, CHAMP,HGNC
CHAMP1,ENSG00000198824, CHAMP,HGNC
ASF1A,ENSG00000111875, CIA,HGNC
NCOA5,ENSG00000124160, CIA,HGNC
CIB1,ENSG00000185043, CIB,HGNC
ABHD14B,ENSG00000114779, CIB,HGNC
VIM2P,ENSG00000220548, CIR,HGNC
KCNJ5,ENSG00000120457, CIR,HGNC
SPEF1,ENSG00000101222, CLAMP,HGNC
PDZK1,ENSG00000174827, CLAMP,HGNC
NLRC4,ENSG00000091106, CLAN,HGNC
LINC02577,ENSG00000228742, CLAN,HGNC
CRNKL1,ENSG00000101343, CLF,HGNC
CRLF1,ENSG00000006016, CLF,HGNC
CLIP2,ENSG00000106665, CLIP,HGNC
CLIP1,ENSG00000130779, CLIP,HGNC
POMC,ENSG00000115138, CLIP,HGNC
CNDP1,ENSG00000150656, CN1,HGNC
NT5C1A,ENSG00000116981, CN1,HGNC
C4B,ENSG00000224389, CO4,HGNC
C4A,ENSG00000244731, CO4,HGNC
CFDP1,ENSG00000153774, CP27,HGNC
CYP27A1,ENSG00000135929, CP27,HGNC
CEBPB,ENSG00000172216, CRP2,HGNC
CSRP2,ENSG00000175183, CRP2,HGNC
SLC6A8,ENSG00000130821, CRT,HGNC
CALR,ENSG00000179218, CRT,HGNC
MYOZ1,ENSG00000177791, CS-2,HGNC
CSH2,ENSG00000213218, CS-2,HGNC
CTF1,ENSG00000150281, CT1,HGNC
SLC6A8,ENSG00000130821, CT1,HGNC
KIF20B,ENSG00000138182, CT90,HGNC
MPHOSPH10,ENSG00000124383, CT90,HGNC
CYP2A6,ENSG00000255974, CYP2A,HGNC
CYP2A13,ENSG00000197838, CYP2A,HGNC
PPID,ENSG00000171497, CypD,HGNC
PPIF,ENSG00000108179, CypD,HGNC
TNNI2,ENSG00000130598, DA2B,HGNC
TNNT3,ENSG00000130595, DA2B,HGNC
LRP2,ENSG00000081479, DBS,HGNC
MCF2L,ENSG00000126217, DBS,HGNC
YY1,ENSG00000100811, DELTA,HGNC
PSMB6,ENSG00000142507, DELTA,HGNC
DGKE,ENSG00000153933, DGK,HGNC
DGKB,ENSG00000136267, DGK,HGNC
LIF,ENSG00000128342, DIA,HGNC
DIAPH2,ENSG00000147202, DIA,HGNC
IGHD5-12,ENSG00000211921, DK1,HGNC
DOLK,ENSG00000175283, DK1,HGNC
DYM,ENSG00000141627, DMC,HGNC
CXCL17,ENSG00000189377, DMC,HGNC
CDK2AP1,ENSG00000111328, DOC1,HGNC
ANAPC10,ENSG00000164162, DOC1,HGNC
TFDP1,ENSG00000198176, DP1,HGNC
PTGDR,ENSG00000168229, DP1,HGNC
KCNK1,ENSG00000135750, DPK,HGNC
TAOK3,ENSG00000135090, DPK,HGNC
UTRN,ENSG00000152818, DRP1,HGNC
DENR,ENSG00000139726, DRP1,HGNC
ECI2,ENSG00000198721, DRS1,HGNC
DDX27,ENSG00000124228, DRS1,HGNC
RPL10,ENSG00000147403, DXS648E,HGNC
SNORA70,ENSG00000207165, DXS648E,HGNC
ENOPH1,ENSG00000145293, E1,HGNC
SNORA73A,ENSG00000274266, E1,HGNC
CST12P,ENSG00000226344, E2,HGNC
DLAT,ENSG00000150768, E2,HGNC
UBE4A,ENSG00000110344, E4,HGNC
UBE4B,ENSG00000130939, E4,HGNC
PTTG1,ENSG00000164611, EAP1,HGNC
EXOSC7,ENSG00000075914, EAP1,HGNC
EIF2B4,ENSG00000115211, EIF-2B,HGNC
EIF2B1,ENSG00000111361, EIF-2B,HGNC
EIF2B3,ENSG00000070785, EIF-2B,HGNC
EIF2B5,ENSG00000145191, EIF-2B,HGNC
ETFA,ENSG00000140374, EMA,HGNC
MUC1,ENSG00000185499, EMA,HGNC
EML5,ENSG00000165521, EMAP-2,HGNC
AIMP1,ENSG00000164022, EMAP-2,HGNC
EML2,ENSG00000125746, EMAP-2,HGNC
TFAP2C,ENSG00000087510, ERF1,HGNC
ZFP36L1,ENSG00000185650, ERF1,HGNC
CISD2,ENSG00000145354, ERIS,HGNC
STING1,ENSG00000184584, ERIS,HGNC
GFER,ENSG00000127554, ERV1,HGNC
CMKLR1,ENSG00000174600, ERV1,HGNC
FLOT2,ENSG00000132589, ESA1,HGNC
KAT5,ENSG00000172977, ESA1,HGNC
TLE2,ENSG00000065717, ESG,HGNC
TLE4,ENSG00000106829, ESG,HGNC
TLE1,ENSG00000196781, ESG,HGNC
CTAG1B,ENSG00000184033, ESO1,HGNC
CTAG1A,ENSG00000268651, ESO1,HGNC
ESPL1,ENSG00000135476, ESP1,HGNC
CRIP2,ENSG00000182809, ESP1,HGNC
BRCA2,ENSG00000139618, FAD1,HGNC
FLAD1,ENSG00000160688, FAD1,HGNC
CCDC198,ENSG00000100557, FAME,HGNC
FCMTE3,, FAME,HGNC
FBXL4,ENSG00000112234, FBL5,HGNC
FBXL5,ENSG00000118564, FBL5,HGNC
KDM2A,ENSG00000173120, FBL7,HGNC
FBXL7,ENSG00000183580, FBL7,HGNC
GTF2E1,ENSG00000153767, FE,HGNC
GTF2E2,ENSG00000197265, FE,HGNC
DEPP1,ENSG00000165507, FIG,HGNC
GOPC,ENSG00000047932, FIG,HGNC
CFLAR,ENSG00000003402, FLIP,HGNC
FIRRM,ENSG00000000460, FLIP,HGNC
AIFM2,ENSG00000042286, FSP1,HGNC
S100A4,ENSG00000196154, FSP1,HGNC
GPSM3,ENSG00000213654, G18,HGNC
CISH,ENSG00000114737, G18,HGNC
SOD2,ENSG00000291237, GC1,HGNC
OLFM4,ENSG00000102837, GC1,HGNC
GOLGA4,ENSG00000144674, GCP2,HGNC
FOLH1,ENSG00000086205, GCP2,HGNC
SERPINE2,ENSG00000135919, GDN,HGNC
MAML3,ENSG00000196782, GDN,HGNC
SMN1,ENSG00000172062, GEMIN1,HGNC
SMN2,ENSG00000205571, GEMIN1,HGNC
RMND5A,ENSG00000153561, GID2,HGNC
RMND5B,ENSG00000145916, GID2,HGNC
GCG,ENSG00000115263, GLP-1,HGNC
ZGLP1,ENSG00000220201, GLP-1,HGNC
SLC2A8,ENSG00000136856, GLUT8,HGNC
SLC2A12,ENSG00000146411, GLUT8,HGNC
GOLT1B,ENSG00000111711, GOT1,HGNC
GOLT1A,ENSG00000174567, GOT1,HGNC
ACKR1,ENSG00000213088, GPD,HGNC
GYPC,ENSG00000136732, GPD,HGNC
MYO5A,ENSG00000197535, GS1,HGNC
PUDP,ENSG00000130021, GS1,HGNC
PNPLA4,ENSG00000006757, GS2,HGNC
RAB27A,ENSG00000069974, GS2,HGNC
CELIAC2,, GSE,HGNC
CTLA4,ENSG00000163599, GSE,HGNC
FRK,ENSG00000111816, GTK,HGNC
KYAT1,ENSG00000171097, GTK,HGNC
CLIC4,ENSG00000169504, H1,HGNC
VPS45,ENSG00000136631, H1,HGNC
H2AC8,ENSG00000277075, H2A.1,HGNC
H2AC17,ENSG00000278677, H2A.1,HGNC
H2BC21,ENSG00000184678, H2B.1,HGNC
H2BC4,ENSG00000180596, H2B.1,HGNC
RLN3,ENSG00000171136, H3,HGNC
H3C14,ENSG00000203811, H3,HGNC
FGFR1,ENSG00000077782, H3,HGNC
H3C3,ENSG00000287080, H3.1,HGNC
H3C6,ENSG00000274750, H3.1,HGNC
CCDC6,ENSG00000108091, H4,HGNC
FGFR1,ENSG00000077782, H4,HGNC
H4C6,ENSG00000274618, H4,HGNC
SEPTIN5,ENSG00000184702, H5,HGNC
FGFR1,ENSG00000077782, H5,HGNC
SMARCAL1,ENSG00000138375, HARP,HGNC
ANKS4B,ENSG00000175311, HARP,HGNC
PANK2,ENSG00000125779, HARP,HGNC
ANGPTL2,ENSG00000136859, HARP,HGNC
HEBP1,ENSG00000013583, HBP,HGNC
AZU1,ENSG00000172232, HBP,HGNC
SCN2A,ENSG00000136531, HBSCI,HGNC
SCN1A,ENSG00000144285, HBSCI,HGNC
SERPIND1,ENSG00000099937, HC2,HGNC
CYCSP38,ENSG00000259513, HC2,HGNC
CYCSP24,ENSG00000227666, HC3,HGNC
PSMA2,ENSG00000106588, HC3,HGNC
CCL16,ENSG00000275152, HCC-4,HGNC
RBMS1,ENSG00000153250, HCC-4,HGNC
BRI3BP,ENSG00000184992, HCCR-2,HGNC
LETMD1,ENSG00000050426, HCCR-2,HGNC
AMBP,ENSG00000106927, HCP,HGNC
CPOX,ENSG00000080819, HCP,HGNC
EDA,ENSG00000158813, HED,HGNC
GJB6,ENSG00000121742, HED,HGNC
IFTAP,ENSG00000166352, HEPIS,HGNC
C17orf49,ENSG00000258315, HEPIS,HGNC
ZMPSTE24,ENSG00000084073, HGPS,HGNC
ROBO3,ENSG00000154134, HGPS,HGNC
PTHLH,ENSG00000087494, HHM,HGNC
CCNDBP1,ENSG00000166946, HHM,HGNC
HPCAL1,ENSG00000115756, HLP2,HGNC
DDX3X,ENSG00000215301, HLP2,HGNC
AP3B1,ENSG00000132842, HPS2,HGNC
TFF1,ENSG00000160182, HPS2,HGNC
TNXA,ENSG00000248290, HXBL,HGNC
TNXB,ENSG00000168477, HXBL,HGNC
NR4A2,ENSG00000153234, HZF-3,HGNC
ZNF125,, HZF-3,HGNC
MAGT1,ENSG00000102158, IAP,HGNC
IAPP,ENSG00000121351, IAP,HGNC
MTUS1,ENSG00000129422, ICIS,HGNC
MTUS2,ENSG00000132938, ICIS,HGNC
IL17B,ENSG00000127743, IL-20,HGNC
IL20,ENSG00000162891, IL-20,HGNC
IL22,ENSG00000127318, IL-21,HGNC
IL21,ENSG00000138684, IL-21,HGNC
IL17C,ENSG00000124391, IL-21,HGNC
TLN2,ENSG00000171914, ILWEQ,HGNC
HIP1R,ENSG00000130787, ILWEQ,HGNC
HM13,ENSG00000101294, IMP1,HGNC
IGF2BP1,ENSG00000159217, IMP1,HGNC
SOD2,ENSG00000291237, IPOB,HGNC
KPNB1,ENSG00000108424, IPOB,HGNC
IL1RN,ENSG00000136689, IRAP,HGNC
LNPEP,ENSG00000113441, IRAP,HGNC
EIF1,ENSG00000173812, ISO1,HGNC
SRR,ENSG00000167720, ISO1,HGNC
SMARCA5,ENSG00000153147, ISWI,HGNC
SMARCA1,ENSG00000102038, ISWI,HGNC
KIFAP3,ENSG00000075945, KAP-1,HGNC
TRIM28,ENSG00000130726, KAP-1,HGNC
TAF1,ENSG00000147133, KAT4,HGNC
GOT2,ENSG00000125166, KAT4,HGNC
GLS,ENSG00000115419, KGA,HGNC
KCNJ3,ENSG00000162989, KGA,HGNC
ACTRT1,ENSG00000123165, KIAA0705,HGNC
MAGI2,ENSG00000187391, KIAA0705,HGNC
KIR2DL5B,, KIR2DL5,HGNC
KIR2DL5A,ENSG00000274143, KIR2DL5,HGNC
CENPU,ENSG00000151725, KLIP1,HGNC
YIPF3,ENSG00000137207, KLIP1,HGNC
CXCL14,ENSG00000145824, KS1,HGNC
ZNF382,ENSG00000161298, KS1,HGNC
CCDC34,ENSG00000109881, L15,HGNC
RPL15,ENSG00000174748, L15,HGNC
SIK3,ENSG00000160584, L19,HGNC
IGKV1-12,ENSG00000243290, L19,HGNC
RPL19,ENSG00000108298, L19,HGNC
RPL6,ENSG00000089009, L6,HGNC
MED10,ENSG00000133398, L6,HGNC
TSC1,ENSG00000165699, LAM,HGNC
TSC2,ENSG00000103197, LAM,HGNC
LAP3,ENSG00000002549, LAP,HGNC
CENPJ,ENSG00000151849, LAP,HGNC
TRAF3,ENSG00000131323, LAP1,HGNC
TOR1AIP1,ENSG00000143337, LAP1,HGNC
MIP,ENSG00000135517, LIM1,HGNC
LHX1,ENSG00000273706, LIM1,HGNC
LNPK,ENSG00000144320, LNP,HGNC
NUSAP1,ENSG00000137804, LNP,HGNC
VANGL2,ENSG00000162738, LPP1,HGNC
PLPP1,ENSG00000067113, LPP1,HGNC
NR5A2,ENSG00000116833, LRH-1,HGNC
P2RX5,ENSG00000083454, LRH-1,HGNC
LRP10,ENSG00000197324, LRP9,HGNC
SORL1,ENSG00000137642, LRP9,HGNC
ABCB8,ENSG00000197150, M-ABC1,HGNC
ABCF2,ENSG00000033050, M-ABC1,HGNC
LMNA,ENSG00000160789, MADA,HGNC
AMPD1,ENSG00000116748, MADA,HGNC
ADAM10,ENSG00000137845, MADM,HGNC
NRBP1,ENSG00000115216, MADM,HGNC
ENO1,ENSG00000074800, MBP-1,HGNC
HIVEP1,ENSG00000095951, MBP-1,HGNC
ATF7IP,ENSG00000171681, MCAF,HGNC
CCL2,ENSG00000108691, MCAF,HGNC
GPX4,ENSG00000167468, MCSP,HGNC
CSPG4,ENSG00000173546, MCSP,HGNC
SLC16A1,ENSG00000155380, MCT1,HGNC
MCAT,ENSG00000100294, MCT1,HGNC
SLC16A2,ENSG00000147100, MCT7,HGNC
SLC16A6,ENSG00000108932, MCT7,HGNC
SRSF1,ENSG00000136450, MGC5228,HGNC
PRSS30P,ENSG00000172460, MGC5228,HGNC
MIA,ENSG00000261857, MIA1,HGNC
CFAP100,ENSG00000163885, MIA1,HGNC
CENPC,ENSG00000145241, MIF2,HGNC
DDT,ENSG00000099977, MIF2,HGNC
MIOS,ENSG00000164654, MIO,HGNC
MLXIPL,ENSG00000009950, MIO,HGNC
TRAPPC2,ENSG00000196459, MIP-2A,HGNC
TRAPPC2B,ENSG00000256060, MIP-2A,HGNC
MAPKAP1,ENSG00000119487, MIP1,HGNC
TNPO1,ENSG00000083312, MIP1,HGNC
KCNA3,ENSG00000177272, MK3,HGNC
MAPKAPK3,ENSG00000114738, MK3,HGNC
ATP8A2,ENSG00000132932, ML-1,HGNC
IL17F,ENSG00000112116, ML-1,HGNC
KMT2D,ENSG00000167548, MLL4,HGNC
KMT2B,ENSG00000272333, MLL4,HGNC
MARCKSL1,ENSG00000175130, MLP1,HGNC
ABCC6,ENSG00000091262, MLP1,HGNC
MRPL32,ENSG00000106591, MRP-L32,HGNC
MRPL14,ENSG00000180992, MRP-L32,HGNC
KLHL1,ENSG00000150361, MRP2,HGNC
ABCC2,ENSG00000023839, MRP2,HGNC
S100A8,ENSG00000143546, MRP8,HGNC
ABCC8,ENSG00000006071, MRP8,HGNC
METTL3,ENSG00000165819, MT-A70,HGNC
PCIF1,ENSG00000100982, MT-A70,HGNC
ZMYM3,ENSG00000147130, MYM,HGNC
ZMYM5,ENSG00000132950, MYM,HGNC
ZMYM1,ENSG00000197056, MYM,HGNC
ZMYM4,ENSG00000146463, MYM,HGNC
ZMYM2,ENSG00000121741, MYM,HGNC
ZMYM6,ENSG00000163867, MYM,HGNC
NAP1L1,ENSG00000187109, NAP1,HGNC
CXCL8,ENSG00000169429, NAP1,HGNC
ACOT8,ENSG00000101473, NAP1,HGNC
NAA20,ENSG00000173418, NAT3,HGNC
SLC38A4,ENSG00000139209, NAT3,HGNC
TP63,ENSG00000073282, NBP,HGNC
COASY,ENSG00000068120, NBP,HGNC
STK38,ENSG00000112079, NDR1,HGNC
NDRG1,ENSG00000104419, NDR1,HGNC
PRPF38B,ENSG00000134186, NET1,HGNC
NTN1,ENSG00000065320, NET1,HGNC
DUOXA1,ENSG00000140254, NIP,HGNC
GIPC1,ENSG00000123159, NIP,HGNC
UHRF2,ENSG00000147854, NIRF,HGNC
IL17B,ENSG00000127743, NIRF,HGNC
AMT,ENSG00000145020, NKH,HGNC
GLDC,ENSG00000178445, NKH,HGNC
CD300LF,ENSG00000186074, NKIR,HGNC
TACR1,ENSG00000115353, NKIR,HGNC
ANGPTL4,ENSG00000167772, NL2,HGNC
MMEL1,ENSG00000142606, NL2,HGNC
GNL3,ENSG00000163938, NS,HGNC
SPINK5,ENSG00000133710, NS,HGNC
NSMCE2,ENSG00000156831, NSE2,HGNC
LRATD2,ENSG00000168672, NSE2,HGNC
YTHDF2,ENSG00000198492, NY-REN-2,HGNC
YTHDF2P1,ENSG00000270503, NY-REN-2,HGNC
FSTL1,ENSG00000163430, OCC1,HGNC
C12orf75,ENSG00000235162, OCC1,HGNC
AZIN1,ENSG00000155096, ODC1L,HGNC
AZIN2,ENSG00000142920, ODC1L,HGNC
OR7A2P,ENSG00000172148, OLF4p,HGNC
OR7A1P,ENSG00000268834, OLF4p,HGNC
AHI1,ENSG00000135541, ORF1,HGNC
NCKIPSD,ENSG00000213672, ORF1,HGNC
RP1,ENSG00000104237, ORP1,HGNC
OSBPL1A,ENSG00000141447, ORP1,HGNC
MPZ,ENSG00000158887, P0,HGNC
RPLP0,ENSG00000089157, P0,HGNC
PRF1,ENSG00000180644, P1,HGNC
RPLP1,ENSG00000137818, P1,HGNC
GSTO1,ENSG00000148834, P28,HGNC
GOSR1,ENSG00000108587, P28,HGNC
ATP6V0D1,ENSG00000159720, P39,HGNC
CDK5R2,ENSG00000171450, P39,HGNC
ARHGEF2,ENSG00000116584, P40,HGNC
IL9,ENSG00000145839, P40,HGNC
PSMD7,ENSG00000103035, P40,HGNC
EBNA1BP2,ENSG00000117395, P40,HGNC
FKBP5,ENSG00000096060, P54,HGNC
NONO,ENSG00000147140, P54,HGNC
PSMD3,ENSG00000108344, P58,HGNC
RAD23B,ENSG00000119318, P58,HGNC
GTF2H1,ENSG00000110768, P62,HGNC
IGF2BP2,ENSG00000073792, P62,HGNC
KLF6,ENSG00000067082, PAC1,HGNC
PSMG1,ENSG00000183527, PAC1,HGNC
ACP3,ENSG00000014257, PAP,HGNC
PDAP1,ENSG00000106244, PAP,HGNC
ASAP2,ENSG00000151693, PAP,HGNC
TUSC2,ENSG00000114383, PAP,HGNC
MYBBP1A,ENSG00000132382, PAP2,HGNC
PLPPR5,ENSG00000117598, PAP2,HGNC
GLI3,ENSG00000106571, PAPA,HGNC
PAPPA,ENSG00000182752, PAPA,HGNC
F2R,ENSG00000181104, PAR-1,HGNC
PWAR1,ENSG00000279050, PAR-1,HGNC
F2R,ENSG00000181104, PAR1,HGNC
SLC52A2,ENSG00000185803, PAR1,HGNC
NR1I2,ENSG00000144852, PAR2,HGNC
SLC52A1,ENSG00000132517, PAR2,HGNC
CCL18,ENSG00000275385, PARC,HGNC
CUL9,ENSG00000112659, PARC,HGNC
EPRS1,ENSG00000136628, PARS,HGNC
PARP1,ENSG00000143799, PARS,HGNC
APPBP2,ENSG00000062725, PAT1,HGNC
SLC36A1,ENSG00000123643, PAT1,HGNC
DOCK3,ENSG00000088538, PBP,HGNC
PPBP,ENSG00000163736, PBP,HGNC
CBX4,ENSG00000141582, PC2,HGNC
PKD2,ENSG00000118762, PC2,HGNC
PCSK1,ENSG00000175426, PC3,HGNC
CBX8,ENSG00000141570, PC3,HGNC
ENPP1,ENSG00000197594, PCA1,HGNC
PCAT1,ENSG00000253438, PCA1,HGNC
DNAAF3,ENSG00000167646, PCD,HGNC
DNAI1,ENSG00000122735, PCD,HGNC
DNAH5,ENSG00000039139, PCD,HGNC
PHF1,ENSG00000112511, PCL1,HGNC
PCYOX1,ENSG00000116005, PCL1,HGNC
SNCA,ENSG00000145335, PD1,HGNC
SPATA2,ENSG00000158480, PD1,HGNC
PDCD1,ENSG00000188389, PD1,HGNC
PADI1,ENSG00000142623, PDI,HGNC
PDIA2,ENSG00000185615, PDI,HGNC
P4HB,ENSG00000185624, PDI,HGNC
PUM3,ENSG00000080608, PEN,HGNC
PCSK1N,ENSG00000102109, PEN,HGNC
MSX2,ENSG00000120149, PFM,HGNC
ALX4,ENSG00000052850, PFM,HGNC
NUFIP2,ENSG00000108256, PIG1,HGNC
LGALS7,ENSG00000205076, PIG1,HGNC
PRODH,ENSG00000100033, PIG6,HGNC
SPAG9,ENSG00000008294, PIG6,HGNC
LILRB3,ENSG00000204577, PIR-B,HGNC
LILRB1,ENSG00000104972, PIR-B,HGNC
LILRB3,ENSG00000204577, PIRB,HGNC
LILRB1,ENSG00000104972, PIRB,HGNC
ALPP,ENSG00000163283, PLAP,HGNC
LNPEP,ENSG00000113441, PLAP,HGNC
PRDX5,ENSG00000126432, PLP,HGNC
PTHLH,ENSG00000087494, PLP,HGNC
PXDNL,ENSG00000147485, PMR1,HGNC
ATP2C1,ENSG00000017260, PMR1,HGNC
NT5C3A,ENSG00000122643, PN-I,HGNC
NT5C,ENSG00000125458, PN-I,HGNC
BVES,ENSG00000112276, POP1,HGNC
PYDC1,ENSG00000169900, POP1,HGNC
DESI1,ENSG00000100418, POST,HGNC
SLC35G1,ENSG00000176273, POST,HGNC
NPY4R,ENSG00000204174, PP1,HGNC
PPA1,ENSG00000180817, PP1,HGNC
STMN1,ENSG00000117632, PP17,HGNC
PLIN3,ENSG00000105355, PP17,HGNC
PPIB,ENSG00000166794, PPIase,HGNC
FKBP5,ENSG00000096060, PPIase,HGNC
FKBP2,ENSG00000173486, PPIase,HGNC
FKBP1B,ENSG00000119782, PPIase,HGNC
PLPPR3,ENSG00000129951, PRG2,HGNC
PXDN,ENSG00000130508, PRG2,HGNC
NCOA6,ENSG00000198646, PRIP,HGNC
PLCL1,ENSG00000115896, PRIP,HGNC
PKN1,ENSG00000123143, PRK1,HGNC
PROK1,ENSG00000143125, PRK1,HGNC
PTP4A1,ENSG00000112245, PRL1,HGNC
OPRPN,ENSG00000171199, PRL1,HGNC
SMR3B,ENSG00000171201, PRL3,HGNC
PTP4A3,ENSG00000184489, PRL3,HGNC
PNRC1,ENSG00000146278, PRR2,HGNC
NECTIN2,ENSG00000130202, PRR2,HGNC
BPIFA2,ENSG00000131050, PSP,HGNC
MSMB,ENSG00000263639, PSP,HGNC
RIDA,ENSG00000132541, PSP,HGNC
PTRH2,ENSG00000141378, PTH2,HGNC
PTENP1,ENSG00000237984, PTH2,HGNC
PTPRU,ENSG00000060656, PTP,HGNC
REG1A,ENSG00000115386, PTP,HGNC
SLC25A3,ENSG00000075415, PTP,HGNC
ERCC6L,ENSG00000186871, RAD26L,HGNC
ERCC6L2,ENSG00000182150, RAD26L,HGNC
RAMAC,ENSG00000169612, RAM,HGNC
RAB27A,ENSG00000069974, RAM,HGNC
CCDC26,ENSG00000229140, RAM,HGNC
SUGP1,ENSG00000105705, RBP,HGNC
RENBP,ENSG00000102032, RBP,HGNC
PEX7,ENSG00000112357, RD,HGNC
PHYH,ENSG00000107537, RD,HGNC
APEX1,ENSG00000100823, REF1,HGNC
TFPI2,ENSG00000105825, REF1,HGNC
RHOF,ENSG00000139725, RIF,HGNC
RNF34,ENSG00000170633, RIF,HGNC
DKK3,ENSG00000050165, RIG,HGNC
